Argument Zoning - AZI -Best Model AR2
Bootstraps B	50
Sample_size	106
delta observed	-0.051551122062837684
P-value	1.0
	bootstrap_f1_STS	bootstrap_f1_STILT	delta	teststatistic2delta	teststatisticsimple
0	0.34799635701275045	0.3244511479805598	-0.02354520903219065	1	0
1	0.41008958866101725	0.3797776544772539	-0.030311934183763323	1	0
2	0.41358219972582516	0.43762785106021157	0.02404565133438641	1	1
3	0.4511121062845201	0.39958625652095703	-0.05152584976356306	1	0
4	0.42483843708889085	0.37235329363741904	-0.052485143451471816	1	0
5	0.320354499895337	0.302128764278297	-0.018225735617039995	1	0
6	0.32930551832990856	0.3197573814684614	-0.009548136861447176	1	0
7	0.36005717176484936	0.3041904898155991	-0.05586668194925026	1	0
8	0.27132653061224493	0.2556307671583485	-0.01569576345389645	1	0
9	0.33928855127852164	0.283082041794148	-0.05620650948437367	1	0
10	0.35170592731568345	0.2829415954415954	-0.06876433187408804	1	0
11	0.5038813427010147	0.4836526610644258	-0.02022868163658892	1	0
12	0.4893852277753207	0.4890208542433367	-0.0003643735319839858	1	0
13	0.22144512933986618	0.17265724194936558	-0.048787887390500606	1	0
14	0.3644327894327894	0.2967180312313056	-0.06771475820148382	1	0
15	0.3121069788271071	0.2564958314152729	-0.055611147411834205	1	0
16	0.4478964401294498	0.3759550450816064	-0.07194139504784341	1	0
17	0.3948167476275698	0.4526409952360149	0.05782424760844512	1	1
18	0.3345242107628356	0.3023608809630272	-0.032163329799808404	1	0
19	0.3805267388943441	0.34792698062565125	-0.032599758268692824	1	0
20	0.39481447257871327	0.3103896103896104	-0.08442486218910289	1	0
21	0.3866556996360134	0.3468909878000787	-0.03976471183593466	1	0
22	0.4123845644452471	0.44172207178046097	0.02933750733521384	1	1
23	0.37997198879551825	0.3300696346914834	-0.04990235410403482	1	0
24	0.4716174873886225	0.4279916381786958	-0.04362584920992674	1	0
25	0.4439728353140916	0.397712385025286	-0.0462604502888056	1	0
26	0.3892545049653213	0.34853059726761787	-0.040723907697703454	1	0
27	0.40172166427546635	0.36396479495753103	-0.037756869317935315	1	0
28	0.3071280686187518	0.2869047619047619	-0.02022330671398992	1	0
29	0.362111801242236	0.30943188086045226	-0.05267992038178376	1	0
30	0.2249482401656315	0.21138079604353427	-0.013567444122097233	1	0
31	0.49292605931261396	0.4505255613951266	-0.042400497917487345	1	0
32	0.27837849733710884	0.20354423887711465	-0.0748342584599942	1	0
33	0.4646585003284205	0.4095402855199565	-0.05511821480846396	1	0
34	0.4345238095238094	0.3920933977455716	-0.04243041177823781	1	0
35	0.28230174711034	0.29832836718157824	0.01602662007123823	1	1
36	0.3418487754602942	0.30857781303803244	-0.03327096242226174	1	0
37	0.3672074253430186	0.34611181501425403	-0.021095610328764558	1	0
38	0.45825602968460105	0.392158280316175	-0.06609774936842605	1	0
39	0.35095628123151057	0.37840765274842353	0.02745137151691296	1	1
40	0.3316635745207174	0.2707390648567119	-0.06092450966400548	1	0
41	0.4919466109479979	0.4943461595164382	0.0023995485684402684	1	1
42	0.2923258559622196	0.288919934301195	-0.0034059216610246024	1	0
43	0.5246733775969159	0.47442810457516343	-0.05024527302175247	1	0
44	0.46186619893516445	0.421756109851348	-0.04011008908381647	1	0
45	0.3288829550511793	0.27188468064571364	-0.056998274405465676	1	0
46	0.3497657736788171	0.3607484873983251	0.010982713719507986	1	1
47	0.3842444766973068	0.39402466356644256	0.009780186869135732	1	1
48	0.3249744342181317	0.3616848175752564	0.036710383357124676	1	1
49	0.4684706271172437	0.47523809523809524	0.00676746812085155	1	1
