Target Insufficient Arg Support - Best Model ACIL
Bootstraps B	50
Sample_size	118
delta observed	0.023856781134409144
P-value	0.18
	bootstrap_f1_STS	bootstrap_f1_STILT	delta	teststatistic2delta	teststatisticsimple
0	0.8905041756882153	0.9106060606060605	0.02010188491784526	0	1
1	0.8259133906100842	0.8763202451019916	0.050406854491907405	1	1
2	0.8905041756882153	0.9190434186023719	0.02853924291415666	0	1
3	0.8468668891360771	0.8668749457606526	0.0200080566245755	0	1
4	0.8760504201680672	0.9325328759291023	0.056482455761035055	1	1
5	0.8710816034960921	0.8804830541488119	0.0094014506527198	0	1
6	0.9132565547659888	0.9085271317829458	-0.004729422983043019	0	0
7	0.8212121212121212	0.8800813008130082	0.058869179600887	1	1
8	0.7944250871080138	0.8634575329784773	0.06903244587046342	1	1
9	0.7982905982905983	0.8143271221532091	0.016036523862610785	0	1
10	0.8818818818818819	0.9243589743589744	0.042477092477092526	0	1
11	0.8731182795698926	0.9124536301006889	0.03933535053079629	0	1
12	0.8195231668915879	0.8361512701135343	0.01662810322194641	0	1
13	0.8159464171024864	0.8818818818818819	0.06593546477939549	1	1
14	0.843560606060606	0.8287665386256935	-0.014794067434912517	0	0
15	0.839984502130957	0.9124953652206156	0.0725108630896586	1	1
16	0.9187607573149742	0.9212545879212546	0.0024938306062803894	0	1
17	0.8690567648314127	0.8468029860434924	-0.022253778787920342	0	0
18	0.8781411359724614	0.8800813008130081	0.0019401648405467098	0	1
19	0.8800813008130082	0.8763202451019914	-0.003761055711016814	0	0
20	0.8325875804867402	0.8905041756882153	0.057916595201475074	1	1
21	0.8578313253012049	0.8851022395326194	0.027270914231414478	0	1
22	0.8253289473684211	0.827653359298929	0.002324411930507919	0	1
23	0.8840990941831278	0.855921855921856	-0.02817723826127183	0	0
24	0.8435606060606061	0.8527629233511586	0.00920231729055243	0	1
25	0.8463941681853684	0.8729606625258799	0.026566494340511504	0	1
26	0.8195231668915879	0.8645235361653272	0.045000369273739294	0	1
27	0.8562997658079625	0.8499273255813953	-0.006372440226567244	0	0
28	0.8624271330153683	0.8628438589693916	0.0004167259540233115	0	1
29	0.8619883040935672	0.8781411359724614	0.01615283187889416	0	1
30	0.8578313253012049	0.8590203106332139	0.0011889853320090626	0	1
31	0.7896613190730838	0.7975986277873071	0.007937308714223268	0	1
32	0.8468668891360771	0.8527629233511587	0.005896034215081558	0	1
33	0.8984509466437178	0.8763202451019915	-0.02213070154172636	0	0
34	0.8314144045718128	0.8487179487179487	0.017303544146135885	0	1
35	0.8168749489504206	0.8719379844961241	0.055063035545703576	1	1
36	0.8463941681853684	0.8729606625258799	0.026566494340511504	0	1
37	0.843560606060606	0.8760504201680672	0.03248981410746121	0	1
38	0.8687430478309233	0.8489116517285531	-0.01983139610237017	0	0
39	0.8527629233511586	0.8892018779342723	0.03643895458311375	0	1
40	0.831802343997466	0.8452518707089407	0.013449526711474702	0	1
41	0.8713662790697674	0.8781411359724612	0.00677485690269386	0	1
42	0.8347338935574231	0.8621955288621955	0.027461635304772414	0	1
43	0.8933199397287794	0.8619883040935672	-0.03133163563521224	0	0
44	0.9158645276292335	0.9062086019606111	-0.00965592566862239	0	0
45	0.8668749457606526	0.8382649359026042	-0.028610009858048402	0	0
46	0.8659526127880558	0.8778176025487853	0.011864989760729472	0	1
47	0.8489116517285531	0.9000677506775068	0.05115609894895368	1	1
48	0.8687430478309233	0.8668749457606526	-0.0018681020702706608	0	0
49	0.9190434186023718	0.9124953652206156	-0.006548053381756236	0	0
